1,Romance Dawn,Completed
2,Orange Town,Completed
3,Syrup Village,Completed
4,Gaimon,Completed
5,Baratie,Completed
6,Arlong Park,Completed
6,The Adventures of Buggy's Crew,Completed
7,Loguetown,Completed
8,Reverse Mountain,Completed
9,Whisky Peak ,(TBR)
9,The Trials of Koby-Meppo,Completed
10,Little Garden,Completed
11,Drum Island,Completed
12,Arabasta,Completed
13,Jaya,Completed
14,Skypiea,Completed
15,Long Ring Long Land ,(TBR)
16,Water Seven,Completed
17,Enies Lobby,Completed
18,Post-Enies Lobby ,(TBR)
19,Thriller Bark  ,(TBR)
20,Sabaody Archipelago ,(TBR)
21,Amazon Lily ,(TBR)
22,Impel Down ,(TBR)
22,The Adventures of the Straw Hats,Completed
23,Marineford,Completed
24,Post-War,Completed
25,Return to Sabaody,Completed
26,Fishman Island ,(TBR)
27,Punk Hazard ,(TBR)
28,Dressrosa ,(TBR)
29,Zou ,(TBR)
30,Whole Cake Island,Completed
31,Reverie,Completed
32,Wano ,(WIP)
33,Egghead ,(WIP)
